player.id,player.name,team.id.x,rating,position.id,xG,Goal,Shot,Shot_As,Cross,Block,Clearance,Dribble,Dispossessed,Duel,Foul_won,Foul_committed,Pressure,pass
5261,Mahmoud Ibrahim Hassan,774,6.8,20,0.19,0,3,2,1,0,0,0,1,0,1,0,0,15
5262,Tarek Hamed,774,6.1,15,0,0,0,0,1,0,0,0,0,0,3,4,0,45
5263,Mohamed Abdul Shafy Sayed Abouezeid,774,6.6,6,0,0,0,0,1,0,1,0,1,0,1,0,0,38
3302,Nordin Amrabat,788,7.3,2,0,0,0,2,2,0,0,1,5,1,0,4,0,28
5219,Romain Saiss,788,6.2,5,0.09,0,1,0,4,0,6,2,0,0,0,2,2,58
5221,Manuel Marouan da Costa Trinidade,788,6,4,0.02,0,1,0,0,0,0,0,0,0,0,0,0,6
5223,Aziz Bouhaddouz,788,5.5,23,0,0,0,1,0,0,1,1,0,0,1,1,0,1
5229,Ayoub El Kaabi,788,6.3,23,0.06,0,1,0,0,0,1,1,2,0,0,2,0,4
5232,Mbark Boussoufa,788,6.5,15,0,0,0,1,2,0,0,3,1,0,5,0,2,36
5234,Sofyan Amrabat,788,5.9,5,0,0,0,0,0,0,0,0,0,0,0,2,0,4
5236,Karim El Ahmadi Al Aroos,788,6.5,13,0,0,0,0,1,0,0,3,1,0,1,2,1,38
5237,Hakim Ziyech,788,6.2,17,0.13,0,3,1,3,0,0,1,3,0,2,5,1,39
5242,Younes Belhanda,788,6.4,19,0.24,0,3,1,3,0,3,3,1,2,4,1,1,42
5243,Amine Harit,788,7.1,21,0.17,0,3,2,1,0,0,0,13,3,2,1,0,22
5244,Medhi Amine El Mouttaqi Benatia,788,6.7,3,0.12,0,1,0,1,0,2,0,0,0,1,1,0,76
5245,Achraf Hakimi Mouh,788,6.4,6,0.03,0,1,2,1,0,1,3,3,2,0,1,2,32
5220,Morteza Pouraliganji,797,6.8,3,0,0,0,0,1,0,2,2,0,0,1,0,0,14
5222,Roozbeh Cheshmi,797,6.8,5,0.05,0,1,0,2,0,3,1,0,1,0,0,0,11
5224,Sardar Azmoun,797,7.1,23,0.35,0,2,0,1,0,1,3,1,1,1,0,1,12
5225,Omid Ebrahimi,797,6.7,10,0.03,0,1,0,0,0,2,4,0,0,1,0,4,18
5226,Mehdi Taremi,797,6.4,13,0,0,0,0,0,0,1,0,0,0,2,1,0,2
5228,Seyed Majid Hosseini,797,6.4,10,0,0,0,0,1,0,1,0,0,0,1,0,0,2
5230,Ehsan Hajsafi,797,6.8,6,0.04,0,2,0,1,0,1,2,0,0,5,0,1,14
5231,Karim Ansarifard,797,6.8,16,0,0,0,1,0,0,0,3,1,1,2,2,1,9
5235,Ramin Rezaeian,797,6.8,2,0,0,0,0,1,0,1,4,0,0,2,2,3,21
5238,Masoud Shojaei Soleimani,797,6.9,13,0,0,0,0,0,0,0,2,3,2,1,4,2,8
